original	corrected	confidence
Nethermine	Nethermind	high
TechU	Teku	high
Prison	Prysm	high
Glanzerland	Glamsterdam	high
Glamster.dev	Glamsterdam devnet	medium
Glamster.deven	Glamsterdam devnet	medium
Glamstruderdam	Glamsterdam	high
EriGohn	Erigon	high
Wrath	Reth	medium
SSC	SSZ	high
Prism	Prysm	high
White House	Lighthouse	high
GetF	Geth	medium
GAF	Geth	medium
GEF	Geth	medium
GetBoxv4	GetBlobsV4	medium
GAPLOSB4	GetBlobsV4	medium
GetDLOSB3	GetBlobsV3	medium
Boco	blob pool	medium
Bocco	blob pool	medium
Demet	devnet	medium
Definite	devnet	medium
DeadNode	devnet	medium
topnet	devnet	medium
DefNet	devnet	medium
sparse plot pool	sparse blob pool	high
disposable pool	sparse blob pool	medium
Jiochem	Jochem	medium
Jochen	Jochem	medium
