original	corrected	confidence
Ball DevNet 7	bal-devnet-7	high
Baldefinnet 7	bal-devnet-7	high
Baldefinite 7	bal-devnet-7	high
Definitely 7	bal-devnet-7	high
Glamsterdam Definitz	Glamsterdam devnet	high
Glamsterdam definites	Glamsterdam devnet	high
Glamstone on DevNet 5	Glamsterdam devnet 5	high
Amsterdam DevNet 5	Glamsterdam devnet 5	high
clamsterdam.net	Glamsterdam devnet	high
Glam, DevNet5	Glamsterdam devnet 5	high
Baile.NET7	bal-devnet-7	high
BioDefNet 7	bal-devnet-7	high
Bald Evernet 7	bal-devnet-7	high
Bald Fnet 3	bal-devnet-3	high
Bald Fnet 7	bal-devnet-7	high
BaldevNet 7	bal-devnet-7	high
Globsterdam	Glamsterdam	high
Glamstead	Glamsterdam	high
NetherMind	Nethermind	high
GATT	Geth	high
GET	Geth	high
Aragon	Erigon	high
REF	Reth	high
Bezu	Besu	high
AIP2780	EIP-2780	high
AIPs	EIPs	high
27AT	2780	high
AT37	8037	high
AT38	8038	medium
eTransfer	ETH transfer	medium
