original	corrected	confidence
Prism	Prysm	high
glowers	Gloas	medium
Glow Ass	Gloas	high
Nethermine	Nethermind	high
Dendermind	Nethermind	high
Aetherax	ethrex	medium
Zim	Zeam	medium
Kutuz	Kurtosis	medium
koutosis	Kurtosis	medium
ketosis	Kurtosis	high
scoltosis	Kurtosis	medium
Cortosis	Kurtosis	medium
kutosis	Kurtosis	high
Glamster.nets	Glamsterdam devnets	medium
GitBobZ4	GetBlobs V4	medium
GitBlovs	GetBlobs	medium
GitPlovs	GetBlobs	high
Hasbob	HasBlobs	medium
Hasblops	HasBlobs	medium
SPROPS	sparse blob pool	low
SNARCs	SNARKs	medium
NARC	SNARK	medium
snack	SNARK	medium
