original	corrected	confidence
DevNet	devnet	high
Definite 4	devnet 4	high
Evnet 5	devnet 5	high
Xeem	Zim	high
Zeeam	Zim	high
Zeeem	Zim	high
Brandon	Grandine	medium
SSS	SSZ	high
Grantine	Grandine	high
Lantern	Lantern	low
DEFNET 4	devnet 4	high
Lightouse	Lighthouse	high
Grandine	Grandine	low
Rheem	Reem	high
ETHLambda	ETH Lambda	medium
Glamstronam	Glamsterdam	high
LinuxIG	lean spec	medium
LeanIG	lean spec	medium
LeanSpec	lean spec	medium
Linvent	lean VM	medium
LinVM	lean VM	medium
DevNet	devnet	high
Hive	Hive	low
