original	corrected	confidence
EAP7851	EIP7851	high
EAP8151	EIP8151	high
EAP	EIP	high
Multisik	Multisig	high
delegium	dilithium	high
Talidium	Dilithium	high
multi-sake	multisig	high
multi-seq	multisig	high
Zeconox	ZKnox	high
Gkinnox	ZKnox	high
lithium	Dilithium	high
MLTSA	MLDSA	high
cecil	threshold	medium
Winternets	Winternitz	high
sphings	SPHINCS	high
Mitchell-based	Dilithium-based	medium
Sphanx	SPHINCS	high
Ketjack	Keccak	high
KCAC	Keccak	high
KateSheck	Keccak	high
Sheck	SHAKE	high
Thundermin	Tendermint	medium
LGSA	MLDSA	high
BayELS	BLS	medium
Salis Lab	Silence Lab	high
Salin's lab	Silence Lab	high
Silence Lab	Silence Laboratories	medium
