original	corrected	confidence
Higota	Hegota	high
Hagota	Hegota	high
Kevota	Hegota	high
Hyota	Hegota	high
EOTA	Hegota	high
fossil	FOCIL	high
Narmine	Nethermind	high
Glamstrata	Glamsterdam	high
DevNet AIDS	devnet 8	medium
zestnets	testnets	medium
Glowass	Gloas	high
Ballops	EthPandaOps	medium
Pandobs	EthPandaOps	medium
Pandop	EthPandaOps	medium
Parito	Potuz	medium
SSC	SSZ	high
desertalization	deserialization	high
EtherX	ethrex	medium
RED	Reth	medium
Cesu	Besu	high
Katosis	Kurtosis	high
zkBoost	zkBoost	low
proofser	Professor	medium
TrueVestor	Professor	low
